"","Estado","Totales","Alimentaria","Bebidas","Mineria_Metal_Notal","Curtido_Piel","madera","Electronicos","Ext_P_G","Productos_P_G","Cve_Ent"
"1","Aguascalientes",6640686.66666667,84555.3333333333,NA,NA,NA,NA,NA,NA,NA,1
"2","Baja California",33244625.5833333,151198.166666667,97965.5833333333,NA,NA,43095.4166666667,1879757.83333333,NA,NA,2
"3","Baja California Sur",191957.583333333,28404.6666666667,NA,NA,NA,NA,NA,NA,NA,3
"4","Campeche",22008372.0833333,NA,NA,NA,NA,NA,NA,21812066.3333333,NA,4
"5","Chiapas",1107628,108135.666666667,NA,NA,NA,NA,NA,529652.5,NA,5
"6","Chihuahua",38905160.5833333,420840.416666667,80031.4166666667,784566.833333333,171142,NA,3186691.25,NA,NA,6
"7","Ciudad de México",2669805.08333333,211690.75,NA,NA,NA,NA,234710.333333333,NA,NA,7
"8","Coahuila de Zaragoza",29636575.5833333,139789.166666667,489455.25,81398.4166666667,80985.9166666667,NA,1685521.91666667,NA,NA,8
"9","Colima",209835.666666667,65299,NA,NA,NA,NA,NA,NA,NA,9
"10","Durango",1452649.66666667,35886.6666666667,NA,NA,NA,56687.75,NA,NA,NA,10
"11","Guanajuato",13932663.5,534674.666666667,NA,NA,475292.666666667,NA,238217.666666667,NA,NA,11
"12","Guerrero",493203.166666667,NA,NA,NA,NA,NA,NA,NA,NA,12
"13","Hidalgo",1625373.25,21655.75,NA,NA,NA,NA,NA,NA,NA,13
"14","Jalisco",17827602.75,441059,998265.833333333,NA,22773.3333333333,NA,148021.083333333,NA,NA,14
"15","Michoacán de Ocampo",1117616.41666667,225782.75,NA,NA,NA,NA,NA,NA,NA,15
"16","Morelos",3116431.25,62739.8333333333,NA,NA,NA,NA,NA,NA,NA,16
"17","México",15696455.8333333,786287.333333333,84443.75,NA,NA,NA,290930.5,NA,14670.25,17
"18","Nayarit",95532.3333333333,NA,NA,NA,NA,NA,NA,NA,NA,18
"19","Nuevo León",27522254.3333333,773810,397297.333333333,23437.0833333333,NA,11932.1666666667,4817845.41666667,NA,427496.166666667,19
"20","Oaxaca",918629.25,21982.5,NA,NA,NA,NA,NA,NA,NA,20
"21","Puebla",10661199.1666667,289937.416666667,8214.16666666667,NA,NA,NA,NA,NA,NA,21
"22","Querétaro",7386134.58333333,209357.25,14330.3333333333,NA,NA,NA,847278.083333333,NA,51089.25,22
"23","Quinta Roo",43139.5,NA,NA,NA,NA,NA,NA,NA,NA,23
"24","San Luis Potosí",7901046.16666667,201041.833333333,NA,NA,NA,NA,523531.166666667,NA,NA,24
"25","Sinaloa",652119.916666667,365642.583333333,10953.8333333333,NA,NA,NA,NA,NA,NA,25
"26","Sonora",14971751.75,266301.5,142162.666666667,1209737.58333333,NA,NA,884436.583333333,NA,NA,26
"27","Tabasco",9649796.91666667,65057.6666666667,NA,NA,NA,NA,NA,9139611.66666667,NA,27
"28","Tamaulipas",23702997.75,238579.5,20410.5833333333,NA,NA,3109.16666666667,2597905.75,311377.166666667,NA,28
"29","Tlaxcala",1082300.58333333,NA,NA,NA,NA,NA,NA,NA,NA,29
"30","Veracruz de Ignacio de la Llave",5713026.08333333,808964.25,NA,NA,19753.5,NA,NA,1368456.33333333,NA,30
"31","Yucatán",1208072.91666667,96648.6666666667,NA,NA,NA,NA,NA,NA,NA,31
"32","Zacatecas",2834185.25,49322.0833333333,NA,1089561.58333333,NA,NA,NA,NA,NA,32
